TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2023,4,21,2,18,5XX RICHARDS ST,Central Business District,491782.409,5458952.8813
Break and Enter Commercial,2023,5,31,3,58,5XX RICHARDS ST,Central Business District,491782.409,5458952.8813
Break and Enter Commercial,2023,2,14,5,18,5XX SEYMOUR ST,Central Business District,491644.6188,5458951.8659
Break and Enter Commercial,2023,6,5,2,14,5XX SEYMOUR ST,Central Business District,491644.6188,5458951.8659
Break and Enter Commercial,2023,6,5,7,44,5XX SEYMOUR ST,Central Business District,491646.8681,5458954.1315
Break and Enter Commercial,2023,3,20,7,15,5XX SMITHE ST,Central Business District,491289.7491,5458510.1763
Break and Enter Commercial,2023,1,12,1,25,5XX SMITHE ST,Central Business District,491291.0699,5458508.8825
Break and Enter Commercial,2023,1,24,8,48,5XX SMITHE ST,Central Business District,491291.0699,5458508.8825
Break and Enter Commercial,2023,1,27,0,7,5XX SMITHE ST,Central Business District,491291.0699,5458508.8825
Break and Enter Commercial,2023,1,9,6,45,5XX W 10TH AVE,Fairview,491631.8984,5456610.3811
Break and Enter Commercial,2023,3,12,5,28,5XX W 12TH AVE,Fairview,491525.979,5456417.3884
Break and Enter Commercial,2023,3,1,9,0,5XX W 41ST AVE,South Cambie,491439.8115,5453441.3984
Break and Enter Commercial,2023,4,6,16,0,5XX W 54TH AVE,Oakridge,491440.2881,5452108.5315
Break and Enter Commercial,2023,3,6,17,0,5XX W 7TH AVE,Fairview,491616.6041,5456923.6517
Break and Enter Commercial,2023,2,3,7,29,5XX W 8TH AVE,Fairview,491621.2791,5456819.6521
Break and Enter Commercial,2023,1,26,5,37,5XX W BROADWAY AVE,Fairview,491498.8676,5456730.6525
Break and Enter Commercial,2023,4,25,4,3,5XX W BROADWAY AVE,Fairview,491527.6019,5456720.7445
Break and Enter Commercial,2023,4,16,5,0,5XX W GEORGIA ST,Central Business District,491502.4532,5458777.1782
Break and Enter Commercial,2023,4,2,5,16,5XX W GEORGIA ST,Central Business District,491551.5691,5458728.478
Break and Enter Commercial,2023,4,6,15,30,5XX W HASTINGS ST,Central Business District,491849.4899,5459044.1454
Break and Enter Commercial,2023,5,11,8,51,5XX W HASTINGS ST,Central Business District,491849.4899,5459044.1454
Break and Enter Commercial,2023,1,11,3,50,5XX W KING EDWARD AVE,South Cambie,491401.0662,5455159.2003
Break and Enter Commercial,2023,1,31,5,56,5XX W PENDER ST,Central Business District,491736.3072,5459028.1847
Break and Enter Commercial,2023,3,9,17,0,62XX CAMBIE ST,Oakridge,491507.5647,5452832.3957
Break and Enter Commercial,2023,2,11,4,0,62XX FRASER ST,Sunset,493401.3213,5452765.2486
Break and Enter Commercial,2023,2,6,0,0,63XX CAMBIE ST,Oakridge,491504.8658,5452715.5801
Break and Enter Commercial,2023,2,12,3,44,63XX CAMBIE ST,Oakridge,491505.3525,5452736.6453
Break and Enter Commercial,2023,4,16,3,21,63XX CAMBIE ST,Oakridge,491505.3525,5452736.6453
Break and Enter Commercial,2023,2,25,23,30,64XX VICTORIA DR,Victoria-Fraserview,495211.4869,5452620.4621
Break and Enter Commercial,2023,1,3,4,30,65XX VICTORIA DR,Victoria-Fraserview,495203.8559,5452389.9902
Break and Enter Commercial,2023,2,16,3,40,67XX CAMBIE ST,Oakridge,491495.7506,5452364.9466
Break and Enter Commercial,2023,4,11,18,0,67XX CAMBIE ST,Oakridge,491495.7506,5452364.9466
Break and Enter Commercial,2023,4,14,6,13,67XX GRANVILLE ST,Oakridge,489816.0426,5452384.9769
Break and Enter Commercial,2023,1,23,7,0,67XX OAK ST,Oakridge,490653.3679,5452386.325
Break and Enter Commercial,2023,2,1,19,48,69XX VICTORIA DR,Victoria-Fraserview,495198.8176,5451958.2393
Break and Enter Commercial,2023,1,9,23,30,6X W 69TH AVE,Marpole,492139.4282,5450752.2123
Break and Enter Commercial,2023,3,11,5,55,6X W CORDOVA ST,Central Business District,492293.7194,5458890.667
Break and Enter Commercial,2023,6,8,4,35,6XX ALEXANDER ST,Strathcona,493359.6386,5459029.7829
Break and Enter Commercial,2023,5,11,4,15,6XX CAMBIE ST,Central Business District,491821.6156,5458582.7287
Break and Enter Commercial,2023,1,10,3,20,6XX E BROADWAY AVE,Mount Pleasant,493467.0008,5456634.947
Break and Enter Commercial,2023,4,10,19,0,6XX E BROADWAY AVE,Mount Pleasant,493478.693,5456644.0009
Break and Enter Commercial,2023,2,14,22,47,6XX GRANVILLE ST,Central Business District,491444.6134,5458895.098
Break and Enter Commercial,2023,3,21,7,30,6XX GRANVILLE ST,Central Business District,491444.6134,5458895.098
Break and Enter Commercial,2023,3,17,5,0,6XX HOWE ST,Central Business District,491427.1726,5459035.0012
Break and Enter Commercial,2023,3,27,11,0,6XX LEG IN BOOT SQ,Fairview,491339.7247,5457216.5481
Break and Enter Commercial,2023,4,17,6,32,6XX PIPELINE RD,Stanley Park,490124.2541,5460764.8808
Break and Enter Commercial,2023,4,17,5,15,6XX SEYMOUR ST,Central Business District,491552.1992,5458858.3965
Break and Enter Commercial,2023,2,8,3,51,6XX W 7TH AVE,Fairview,491318.0366,5456923.4638
Break and Enter Commercial,2023,4,14,13,46,6XX W 7TH AVE,Fairview,491387.3596,5456921.1296
Break and Enter Commercial,2023,1,13,1,51,6XX W BROADWAY AVE,Fairview,491437.6728,5456723.1688
Break and Enter Commercial,2023,2,3,23,0,6XX W CORDOVA ST,Central Business District,491866.7009,5459186.4219
Break and Enter Commercial,2023,1,8,15,0,6XX W GEORGIA ST,Central Business District,491439.7827,5458826.841
Break and Enter Commercial,2023,5,5,17,30,6XX W HASTINGS ST,Central Business District,491742.6487,5459164.1349
Break and Enter Commercial,2023,3,23,4,34,6XX W HASTINGS ST,Central Business District,491777.1458,5459129.5844
Break and Enter Commercial,2023,3,31,4,22,70XX KERR ST,Killarney,496996.3155,5451888.7232
Break and Enter Commercial,2023,3,13,7,30,76XX CAMBIE ST,Marpole,491499.765,5451444.0613
Break and Enter Commercial,2023,3,6,16,0,77XX CAMBIE ST,Marpole,491467.2204,5451294.8779
Break and Enter Commercial,2023,1,28,18,0,77XX GRANVILLE ST,Marpole,489779.8144,5451458.1259
Break and Enter Commercial,2023,3,12,10,4,79XX YUKON ST,Marpole,491653.0645,5451070.6436
Break and Enter Commercial,2023,3,10,13,0,7X E PENDER ST,Central Business District,492516.203,5458643.4407
Break and Enter Commercial,2023,5,28,0,30,7X W HASTINGS ST,Central Business District,492259.0368,5458790.5641
Break and Enter Commercial,2023,2,19,3,46,7XX BEATTY ST,Central Business District,491734.3421,5458350.9548
Break and Enter Commercial,2023,3,3,1,0,7XX BEATTY ST,Central Business District,491751.1873,5458367.7988
Break and Enter Commercial,2023,1,28,16,30,7XX BURRARD ST,West End,491107.3849,5458999.1013
Break and Enter Commercial,2023,2,3,4,34,7XX CAMBIE ST,Central Business District,491687.5915,5458433.2214
Break and Enter Commercial,2023,2,27,5,37,7XX DAVIE ST,Central Business District,490762.9325,5458338.5269
Break and Enter Commercial,2023,3,10,0,15,7XX DAVIE ST,Central Business District,490762.9325,5458338.5269
Break and Enter Commercial,2023,4,6,5,24,7XX DAVIE ST,Central Business District,490762.9325,5458338.5269
Break and Enter Commercial,2023,3,30,7,41,7XX DAVIE ST,Central Business District,490802.4357,5458286.4405
Break and Enter Commercial,2023,1,25,2,0,7XX DAVIE ST,Central Business District,490816.8409,5458272.1439
Break and Enter Commercial,2023,1,13,9,14,7XX DUNSMUIR ST,Central Business District,491483.7724,5459051.5702
Break and Enter Commercial,2023,2,1,13,49,7XX DUNSMUIR ST,Central Business District,491483.7724,5459051.5702
Break and Enter Commercial,2023,2,17,13,34,7XX DUNSMUIR ST,Central Business District,491483.7724,5459051.5702
Break and Enter Commercial,2023,2,11,23,0,7XX E 31ST AVE,Kensington-Cedar Cottage,493459.0575,5454432.2659
Break and Enter Commercial,2023,3,21,0,20,7XX E BROADWAY AVE,Mount Pleasant,493553.1579,5456643.3148
Break and Enter Commercial,2023,2,20,22,0,7XX E HASTINGS ST,Strathcona,493536.7453,5458718.3661
Break and Enter Commercial,2023,1,14,10,31,7XX EXPO BLVD,Central Business District,491932.0202,5458350.8162
Break and Enter Commercial,2023,4,12,20,30,7XX GREAT NORTHERN WAY,Mount Pleasant,493623.0715,5457072.4218
Break and Enter Commercial,2023,5,7,17,50,7XX HORNBY ST,Central Business District,491170.6499,5458916.7921
Break and Enter Commercial,2023,5,10,21,15,7XX HORNBY ST,Central Business District,491170.6499,5458916.7921
Break and Enter Commercial,2023,4,17,9,7,7XX JACKSON AVE,Strathcona,493188.684,5458331.0756
Break and Enter Commercial,2023,3,6,0,21,7XX NATIONAL AVE,Strathcona,493662.463,5457773.8736
Break and Enter Commercial,2023,1,10,5,40,7XX NELSON ST,Central Business District,491031.1812,5458520.3892
Break and Enter Commercial,2023,3,28,22,39,7XX PACIFIC BLVD,Central Business District,491970.8693,5458157.5031
Break and Enter Commercial,2023,3,6,19,50,7XX RAYMUR AVE,Strathcona,493949.931,5458369.0815
Break and Enter Commercial,2023,3,10,3,0,7XX RICHARDS ST,Central Business District,491445.7352,5458613.8621
Break and Enter Commercial,2023,1,29,5,43,7XX ROBSON ST,Central Business District,491215.7446,5458816.612
Break and Enter Commercial,2023,4,6,16,33,7XX ROBSON ST,Central Business District,491215.7446,5458816.612
Break and Enter Commercial,2023,4,11,0,46,7XX SE MARINE DR,Sunset,493401.194,5450929.206
Break and Enter Commercial,2023,2,15,17,0,7XX SW MARINE DR,Marpole,490973.5537,5450496.8574
Break and Enter Commercial,2023,2,25,12,0,7XX SW MARINE DR,Marpole,490973.5537,5450496.8574
Break and Enter Commercial,2023,4,4,4,0,7XX THURLOW ST,West End,490937.9534,5459112.7056
Break and Enter Commercial,2023,4,12,6,11,7XX THURLOW ST,West End,490937.9534,5459112.7056
Break and Enter Commercial,2023,3,8,23,57,7XX THURLOW ST,West End,490943.1339,5459117.899
Break and Enter Commercial,2023,3,15,4,44,7XX THURLOW ST,West End,490943.1339,5459117.899
Break and Enter Commercial,2023,1,29,1,47,7XX THURLOW ST,West End,490949.9402,5459124.7225
Break and Enter Commercial,2023,5,31,1,29,7XX THURLOW ST,West End,490973.6234,5459148.4649
Break and Enter Commercial,2023,3,31,18,0,7XX W 16TH AVE,South Cambie,491149.6317,5456030.4387
Break and Enter Commercial,2023,4,19,0,0,7XX W 41ST AVE,South Cambie,491049.4416,5453462.5243
Break and Enter Commercial,2023,3,11,23,27,7XX W 6TH AVE,Fairview,491210.7179,5457014.6589
Break and Enter Commercial,2023,6,4,5,10,7XX W 70TH AVE,Marpole,491039.2173,5450634.1254
Break and Enter Commercial,2023,4,5,3,54,7XX W BROADWAY AVE,Fairview,491272.6202,5456728.1008
Break and Enter Commercial,2023,2,13,19,0,7XX W GEORGIA ST,Central Business District,491402.7991,5458863.8718
Break and Enter Commercial,2023,4,30,19,20,7XX W GEORGIA ST,Central Business District,491409.222,5458870.3802
Break and Enter Commercial,2023,5,10,22,24,7XX W GEORGIA ST,Central Business District,491409.222,5458870.3802
Break and Enter Commercial,2023,4,21,10,1,7XX W PENDER ST,Central Business District,491643.4738,5459104.1741
Break and Enter Commercial,2023,2,2,13,30,80XX GRANVILLE ST,Marpole,489771.3036,5451119.2819
Break and Enter Commercial,2023,4,6,6,0,80XX NUNAVUT LANE,Marpole,491533.0581,5451029.4574
Break and Enter Commercial,2023,4,12,5,0,80XX NUNAVUT LANE,Marpole,491533.0581,5451029.4574
Break and Enter Commercial,2023,3,11,5,32,81XX FRASER ST,Sunset,493367.0258,5450932.9747
Break and Enter Commercial,2023,4,11,0,33,81XX FRASER ST,Sunset,493367.0258,5450932.9747
Break and Enter Commercial,2023,1,1,2,21,81XX FRASER ST,Sunset,493367.0448,5450934.5631
Break and Enter Commercial,2023,2,20,22,14,81XX FRASER ST,Sunset,493367.0448,5450934.5631
Break and Enter Commercial,2023,5,20,8,20,81XX FRASER ST,Sunset,493367.0448,5450934.5631
Break and Enter Commercial,2023,3,20,15,0,81XX MANITOBA ST,Marpole,491989.2004,5450914.4792
Break and Enter Commercial,2023,2,8,22,33,81XX ONTARIO ST,Marpole,492228.2756,5450915.4045
Break and Enter Commercial,2023,4,7,18,0,82XX MANITOBA ST,Marpole,491984.6752,5450805.5062
Break and Enter Commercial,2023,5,9,22,44,83XX ONTARIO ST,Sunset,492229.9784,5450703.0402
Break and Enter Commercial,2023,1,29,2,29,84XX JELLICOE ST,Killarney,496530.3063,5450490.0434
Break and Enter Commercial,2023,1,28,0,0,84XX JELLICOE ST,Killarney,496530.3382,5450461.3271
Break and Enter Commercial,2023,2,18,17,0,85XX CAMBIE ST,Marpole,491467.1635,5450639.3189
Break and Enter Commercial,2023,3,7,15,19,85XX RIVERGRASS DR,Killarney,497934.8697,5450314.8178
Break and Enter Commercial,2023,4,23,3,30,86XX JACK UPPAL ST,Killarney,497485.2867,5450190.0127
Break and Enter Commercial,2023,5,27,0,0,87XX LAUREL ST,Marpole,490803.4388,5450418.6711
Break and Enter Commercial,2023,6,4,0,0,87XX LAUREL ST,Marpole,490803.4388,5450418.6711
Break and Enter Commercial,2023,5,16,8,44,88XX HEATHER ST,Marpole,491031.5458,5450340.2064
Break and Enter Commercial,2023,2,7,13,18,8X E PENDER ST,Central Business District,492542.3545,5458633.3358
Break and Enter Commercial,2023,3,9,15,30,8XX BEATTY ST,Central Business District,491663.5479,5458280.4556
Break and Enter Commercial,2023,3,17,16,0,8XX BUTE ST,West End,490712.7897,5459210.9355
Break and Enter Commercial,2023,1,9,4,0,8XX DENMAN ST,West End,490096.6383,5459808.1406
Break and Enter Commercial,2023,3,24,9,5,8XX DENMAN ST,West End,490138.4293,5459863.6922
Break and Enter Commercial,2023,2,28,2,16,8XX E PENDER ST,Strathcona,493686.1485,5458607.5825
Break and Enter Commercial,2023,1,7,20,21,8XX EXPO BLVD,Central Business District,491661.5222,5458135.2126
Break and Enter Commercial,2023,2,9,19,45,8XX GRANVILLE ST,Central Business District,491219.6476,5458681.609
Break and Enter Commercial,2023,4,11,6,30,8XX GRANVILLE ST,Central Business District,491235.0832,5458697.1594
Break and Enter Commercial,2023,4,1,13,1,8XX HAMILTON ST,Central Business District,491492.2099,5458390.2839
Break and Enter Commercial,2023,2,17,3,25,8XX HOWE ST,Central Business District,491166.5753,5458763.6294
Break and Enter Commercial,2023,1,16,2,0,8XX KINGSWAY AVE,Kensington-Cedar Cottage,493749.3434,5455786.9957
Break and Enter Commercial,2023,3,11,0,0,8XX NELSON ST,Central Business District,490915.2169,5458637.9325
Break and Enter Commercial,2023,2,10,20,8,8XX SEYMOUR ST,Central Business District,491316.8667,5458632.8979
Break and Enter Commercial,2023,4,15,22,0,8XX UNION ST,Strathcona,493749.9525,5458294.4098
Break and Enter Commercial,2023,2,10,3,41,8XX W 15TH AVE,Fairview,491097.9527,5456119.6052
Break and Enter Commercial,2023,4,9,16,0,8XX W 33RD AVE,South Cambie,490949.8174,5454292.9996
Break and Enter Commercial,2023,2,8,5,15,8XX W BROADWAY AVE,Fairview,490970.4029,5456736.5378
Break and Enter Commercial,2023,4,7,5,30,8XX W BROADWAY AVE,Fairview,490993.7464,5456744.876
Break and Enter Commercial,2023,4,26,7,18,8XX W BROADWAY AVE,Fairview,491122.1739,5456740.4123
Break and Enter Commercial,2023,3,31,0,0,8XX W HASTINGS ST,Central Business District,491638.9833,5459267.8831
Break and Enter Commercial,2023,4,29,14,45,8XX W KENT AVE S,Marpole,490959.8707,5450178.0117
Break and Enter Commercial,2023,2,27,8,9,8XX W PENDER ST,Central Business District,491504.9518,5459237.1244
Break and Enter Commercial,2023,3,18,18,0,92XX SHAUGHNESSY ST,Marpole,490816.7551,5449932.7784
Break and Enter Commercial,2023,3,26,16,15,9XX CAMBIE ST,Central Business District,491494.1427,5458236.8199
Break and Enter Commercial,2023,1,16,0,59,9XX CANADA PL,Central Business District,491609.2906,5459492.6338
Break and Enter Commercial,2023,5,27,6,36,9XX CANADA PL,Central Business District,491609.2906,5459492.6338
Break and Enter Commercial,2023,2,4,2,0,9XX CANADA PL,Central Business District,491688.8172,5459447.7285
Break and Enter Commercial,2023,2,5,11,50,9XX COMMERCIAL DR,Grandview-Woodland,494949.0815,5458160.6251
Break and Enter Commercial,2023,5,6,4,16,9XX E BROADWAY AVE,Mount Pleasant,493900.9845,5456639.168
Break and Enter Commercial,2023,5,3,16,0,9XX E CORDOVA ST,Strathcona,493952.1727,5458799.1394
Break and Enter Commercial,2023,3,19,10,32,9XX GRANVILLE ST,Central Business District,491124.9828,5458586.8747
Break and Enter Commercial,2023,3,29,2,0,9XX GRANVILLE ST,Central Business District,491159.0448,5458607.8004
Break and Enter Commercial,2023,2,3,2,50,9XX HORNBY ST,Central Business District,490984.4345,5458729.5653
Break and Enter Commercial,2023,1,30,5,28,9XX JERVIS ST,West End,490573.5314,5459287.7921
Break and Enter Commercial,2023,4,10,3,45,9XX RICHARDS ST,Central Business District,491204.6667,5458383.6548
Break and Enter Commercial,2023,5,12,6,17,9XX ROBSON ST,Central Business District,491087.3936,5458931.2578
Break and Enter Commercial,2023,5,29,3,53,9XX ROBSON ST,Central Business District,491087.3936,5458931.2578
Break and Enter Commercial,2023,6,8,5,0,9XX ROBSON ST,Central Business District,491134.4157,5458887.1299
Break and Enter Commercial,2023,3,16,4,0,9XX SMITHE ST,Central Business District,490994.2335,5458790.1479
Break and Enter Commercial,2023,5,9,2,0,9XX STATION ST,Strathcona,492790.7674,5458143.0989
Break and Enter Commercial,2023,5,8,21,31,9XX TERMINAL AVE,Strathcona,493902.9132,5457453.3292
Break and Enter Commercial,2023,4,24,3,0,9XX W 38TH AVE,South Cambie,490685.5201,5453787.0446
Break and Enter Commercial,2023,5,8,4,0,9XX W 54TH AVE,Oakridge,490658.7012,5452085.9863
Break and Enter Commercial,2023,3,20,6,55,9XX W BROADWAY AVE,Fairview,490874.7283,5456739.0241
Break and Enter Commercial,2023,3,25,2,30,9XX W BROADWAY AVE,Fairview,490874.7283,5456739.0241
Break and Enter Commercial,2023,5,24,3,19,9XX W HASTINGS ST,Central Business District,491499.5999,5459389.1782
Break and Enter Commercial,2023,4,16,3,56,9XX W KING EDWARD AVE,South Cambie,490800.5159,5455153.501
Break and Enter Residential/Other,2023,3,27,23,52,10XX BARCLAY ST,West End,490816.9934,5458904.0917
Break and Enter Residential/Other,2023,6,1,12,0,10XX BURRARD ST,Central Business District,490835.5218,5458718.9971
Break and Enter Residential/Other,2023,6,6,11,6,10XX BURRARD ST,Central Business District,490835.5218,5458718.9971
Break and Enter Residential/Other,2023,1,9,11,0,10XX BUTE ST,West End,490423.8858,5458908.3056
Break and Enter Residential/Other,2023,3,5,22,30,10XX E 10TH AVE,Mount Pleasant,493965.2755,5456519.6476
Break and Enter Residential/Other,2023,1,1,20,0,10XX E 13TH AVE,Mount Pleasant,494017.5465,5456220.9865
Break and Enter Residential/Other,2023,3,8,20,15,10XX E 14TH AVE,Mount Pleasant,493948.4413,5456128.9844
Break and Enter Residential/Other,2023,5,22,12,22,10XX HOWE ST,Central Business District,490922.922,5458529.9935
Break and Enter Residential/Other,2023,4,12,7,0,10XX KINGSWAY AVE,Kensington-Cedar Cottage,493967.5114,5455641.8591
Break and Enter Residential/Other,2023,1,14,16,56,10XX MARINASIDE CRES,Central Business District,491399.9852,5457863.3141
Break and Enter Residential/Other,2023,6,7,17,0,10XX MARINASIDE CRES,Central Business District,491399.9852,5457863.3141
Break and Enter Residential/Other,2023,5,10,3,0,10XX STATION ST,Strathcona,492788.8423,5458081.2304
Break and Enter Residential/Other,2023,3,11,2,0,10XX W 10TH AVE,Fairview,490766.566,5456634.3643
Break and Enter Residential/Other,2023,1,6,11,5,10XX W BROADWAY AVE,Fairview,490669.2388,5456744.2745
Break and Enter Residential/Other,2023,5,5,10,39,10XX W BROADWAY AVE,Fairview,490669.2388,5456744.2745
Break and Enter Residential/Other,2023,1,30,8,0,11XX DAVIE ST,West End,490359.3808,5458726.4785
Break and Enter Residential/Other,2023,4,8,18,30,11XX DAVIE ST,West End,490359.3808,5458726.4785
Break and Enter Residential/Other,2023,5,15,5,0,11XX E BROADWAY AVE,Mount Pleasant,494156.7966,5456635.6571
Break and Enter Residential/Other,2023,1,19,22,46,11XX FRANKLIN ST,Strathcona,494139.1409,5458846.9997
Break and Enter Residential/Other,2023,2,23,12,40,11XX GRANVILLE ST,Central Business District,490852.4071,5458298.9215
Break and Enter Residential/Other,2023,4,21,4,0,11XX GRANVILLE ST,Central Business District,490852.4071,5458298.9215
Break and Enter Residential/Other,2023,4,20,3,0,11XX GRANVILLE ST,Central Business District,490863.6588,5458323.1988
Break and Enter Residential/Other,2023,2,22,10,58,11XX HORNBY ST,Central Business District,490766.7331,5458509.7331
Break and Enter Residential/Other,2023,4,11,1,48,11XX HORNBY ST,Central Business District,490766.7331,5458509.7331
Break and Enter Residential/Other,2023,1,7,5,0,11XX NOOTKA ST,Hastings-Sunrise,496992.1971,5457965.3752
Break and Enter Residential/Other,2023,5,24,4,15,11XX PENDRELL ST,West End,490468.1037,5458772.9459
Break and Enter Residential/Other,2023,4,29,11,0,11XX PENDRELL ST,West End,490492.0061,5458761.9428
Break and Enter Residential/Other,2023,1,22,10,27,11XX UNION ST,Strathcona,494158.9009,5458292.6439
Break and Enter Residential/Other,2023,2,14,21,11,11XX W 10TH AVE,Fairview,490500.245,5456651.0756
Break and Enter Residential/Other,2023,3,13,0,0,11XX W 11TH AVE,Fairview,490447.8928,5456549.1237
Break and Enter Residential/Other,2023,1,10,19,0,11XX W 12TH AVE,Fairview,490485.3208,5456445.518
Break and Enter Residential/Other,2023,1,13,19,20,11XX W 13TH AVE,Fairview,490554.2596,5456327.7567
Break and Enter Residential/Other,2023,2,19,0,0,11XX W 47TH AVE,Oakridge,490439.1842,5452870.0503
Break and Enter Residential/Other,2023,2,9,11,13,11XX W 49TH AVE,Oakridge,490417.9689,5452657.5935
Break and Enter Residential/Other,2023,1,18,12,48,11XX W 6TH AVE,Fairview,490615.9252,5457034.4527
Break and Enter Residential/Other,2023,6,5,21,17,11XX W HASTINGS ST,Central Business District,491220.6789,5459509.5121
Break and Enter Residential/Other,2023,4,29,18,58,11XX W HASTINGS ST,Central Business District,491225.5157,5459497.4916
Break and Enter Residential/Other,2023,4,13,20,0,12XX ALDER BAY WALK,Fairview,490330.0516,5457216.2971
Break and Enter Residential/Other,2023,3,1,4,30,12XX BIDWELL ST,West End,489791.0707,5459268.8144
Break and Enter Residential/Other,2023,2,11,23,30,12XX E 54TH AVE,Sunset,494085.0554,5451966.735
Break and Enter Residential/Other,2023,3,26,7,44,12XX E GEORGIA ST,Strathcona,494260.3927,5458423.4671
Break and Enter Residential/Other,2023,1,11,5,48,12XX HARO ST,West End,490653.3295,5459222.418
Break and Enter Residential/Other,2023,3,4,14,0,12XX HOMER ST,Central Business District,490975.7584,5458010.4383
Break and Enter Residential/Other,2023,6,4,8,45,12XX JOHNSTON ST,Fairview,490404.0434,5457435.6444
Break and Enter Residential/Other,2023,4,13,10,59,12XX KAMLOOPS ST,Hastings-Sunrise,496017.8021,5457847.4634
Break and Enter Residential/Other,2023,6,7,14,47,12XX NELSON ST,West End,490492.7716,5459055.6417
Break and Enter Residential/Other,2023,3,6,14,14,12XX QUEBEC ST,Central Business District,492611.9918,5457932.8659
Break and Enter Residential/Other,2023,3,6,16,18,12XX QUEBEC ST,Central Business District,492611.9918,5457932.8659
Break and Enter Residential/Other,2023,1,28,2,51,12XX SEYMOUR ST,Central Business District,490865.2702,5458178.8421
Break and Enter Residential/Other,2023,2,25,17,30,12XX W 11TH AVE,Fairview,490326.0257,5456542.6296
Break and Enter Residential/Other,2023,4,9,9,0,12XX W 13TH AVE,Fairview,490320.3679,5456342.9418
Break and Enter Residential/Other,2023,5,14,11,18,12XX W 8TH AVE,Fairview,490368.1931,5456862.6929
Break and Enter Residential/Other,2023,1,14,13,0,13XX COTTON DR,Grandview-Woodland,494793.0636,5457780.8797
Break and Enter Residential/Other,2023,5,27,0,1,13XX E 13TH AVE,Kensington-Cedar Cottage,494434.5948,5456216.5735
Break and Enter Residential/Other,2023,5,7,10,30,13XX E 14TH AVE,Kensington-Cedar Cottage,494483.2351,5456121.3604
Break and Enter Residential/Other,2023,6,2,18,46,13XX E 1ST AVE,Grandview-Woodland,494446.8945,5457438.5984
Break and Enter Residential/Other,2023,5,30,13,49,13XX E 2ND AVE,Grandview-Woodland,494439.8146,5457339.0477
Break and Enter Residential/Other,2023,4,2,9,30,13XX E 7TH AVE,Grandview-Woodland,494408.6279,5456836.6655
Break and Enter Residential/Other,2023,4,25,22,30,13XX E 7TH AVE,Grandview-Woodland,494408.6279,5456836.6655
Break and Enter Residential/Other,2023,6,1,8,17,13XX HORNBY ST,Central Business District,490520.7058,5458260.0395
Break and Enter Residential/Other,2023,1,16,8,0,13XX VENABLES ST,Grandview-Woodland,494459.7386,5458228.5863
Break and Enter Residential/Other,2023,3,20,0,0,13XX W 11TH AVE,Fairview,490100.5323,5456547.5947
Break and Enter Residential/Other,2023,5,20,22,0,13XX W 55TH AVE,Oakridge,489991.4134,5451996.5878
Break and Enter Residential/Other,2023,1,15,22,45,13XX W 57TH AVE,Oakridge,490039.9456,5451849.3302
Break and Enter Residential/Other,2023,4,11,19,32,13XX W 73RD AVE,Marpole,490012.2519,5450238.6075
Break and Enter Residential/Other,2023,5,19,22,18,14XX BALFOUR AVE,Shaughnessy,489903.9715,5455466.9994
Break and Enter Residential/Other,2023,5,8,16,6,14XX CONTINENTAL ST,Central Business District,490494.7193,5457981.0102
Break and Enter Residential/Other,2023,3,9,18,45,14XX E 11TH AVE,Kensington-Cedar Cottage,494553.8044,5456422.9592
Break and Enter Residential/Other,2023,4,22,10,0,14XX E 28TH AVE,Kensington-Cedar Cottage,494553.2999,5454743.6916
Break and Enter Residential/Other,2023,3,3,17,30,14XX E 8TH AVE,Grandview-Woodland,494581.3671,5456733.4457
Break and Enter Residential/Other,2023,4,29,13,15,14XX E 8TH AVE,Grandview-Woodland,494598.0379,5456733.129
Break and Enter Residential/Other,2023,4,4,3,20,14XX MAPLE ST,Kitsilano,489079.5285,5457838.8605
Break and Enter Residential/Other,2023,1,18,7,54,14XX MATTHEWS AVE,Shaughnessy,489900.4641,5455615.1506
Break and Enter Residential/Other,2023,5,28,19,12,14XX RICHARDS ST,Central Business District,490665.0762,5457840.2647
Break and Enter Residential/Other,2023,5,22,19,0,14XX W 26TH AVE,Shaughnessy,489888.2547,5455075.8075
Break and Enter Residential/Other,2023,3,12,14,19,15XX E 5TH AVE,Grandview-Woodland,494753.1613,5457034.3679
Break and Enter Residential/Other,2023,2,3,4,1,15XX E BROADWAY AVE,Grandview-Woodland,494708.6916,5456627.9506
Break and Enter Residential/Other,2023,4,24,5,36,15XX GRAVELEY ST,Grandview-Woodland,494675.8894,5457527.7048
Break and Enter Residential/Other,2023,3,11,0,0,15XX SALSBURY DR,Grandview-Woodland,495071.4408,5457601.2429
Break and Enter Residential/Other,2023,1,18,0,15,15XX VERNON DR,Strathcona,494276.6448,5457555.2225
Break and Enter Residential/Other,2023,5,19,12,0,15XX W 12TH AVE,Fairview,489786.7556,5456456.4864
Break and Enter Residential/Other,2023,2,10,5,0,15XX W 57TH AVE,Kerrisdale,489633.457,5451858.9249
Break and Enter Residential/Other,2023,4,15,2,15,15XX W 57TH AVE,Kerrisdale,489633.457,5451858.9249
Break and Enter Residential/Other,2023,4,28,4,38,15XX W 57TH AVE,Kerrisdale,489633.457,5451858.9249
Break and Enter Residential/Other,2023,5,29,21,0,15XX W 57TH AVE,Marpole,489716.3546,5451846.4166
